pt_causal_code,jdf_causal_code,causal_agreement,CAUSAL,pt_realistic_code,jdf_realistic_code,realistic_agreement,REALISTIC,blame_scaled,number,sentence
1,1,1,1,1,1,1,1,9,1,The red car ran into the blue one which caused it to hit the man
1,1,1,1,1,1,1,1,9,2,"If not for the actions of the red car, the blue car would not have hit the man."
1,1,1,1,1,1,1,1,9,3,The red car did not brake in time which rammed into the blue car. The force of the red car caused the blue car to pull forward which hit the man. 
0,0,1,0,1,1,1,1,1,4,"Well, to me it looked like the blue car drove magically through the red car and then hit the man. I didn't notice the red car doing anything at all, cept having the blue car drive through it. If I have to give blame to anyone, it's gonna have to be the blue car."
1,1,1,1,1,1,1,1,9,5,"Since red car hit the blue one and made it hit the man, it is the red cars fault."
1,1,1,1,1,1,1,1,8,6,"If the red car had not hit the blue car, the accident would not have happened.  It all started with the red car driving into the blue car"
1,1,1,1,1,1,1,1,8,7,The blue left a fair amount of room between himself and the man.  The red car pushed the blue car into the man.
1,1,1,1,1,1,1,1,9,8,The blue car would never have hit the man if it had not been for the negligence of the red car.
1,1,1,1,1,1,1,1,9,9,The red car clearly hit the blue car which in turn forced the blue car into the man.
1,1,1,1,1,1,1,1,7,10,The red car hit the blue car which was not moving so they are to blame.
1,1,1,1,1,1,1,1,6,11,If the red car hadn't hit the blue car the blue car would not have hit the man.
1,1,1,1,1,1,1,1,8,12,"The red car hit the blue car, which caused the blue car to hit the man."
1,1,1,1,1,1,1,1,7,13,"Red car ran into blue car which in turn caused it to run into the man. Without the red car, the blue car would not have run into the man."
0,0,1,0,1,1,1,1,6,14,I gave the specific blame that I did because of how the specific events that led to the man being hit by the car unfolded. 
1,1,1,1,0,0,1,0,8,15,"your graphic isn't the best, but i took it that the red car ran into the blue car and the force of the impact is what caused the blue car to hit the man"
1,1,1,1,1,1,1,1,7,16,"the red car hit the blue car, causing it to hit the man. If the red car wouldn't have hit the blue car, than the man most likely wouldn't have been hit. "
1,1,1,1,1,1,1,1,9,17,"The blue car did hit the man but it was because of the red car that this even happened, so the red car is to blame."
1,1,1,1,1,1,1,1,9,18,"The blue car seemed to be a safe distance from the person, and the blue car only hit the person when the red car collided into it."
1,1,1,1,1,1,1,1,8,19,The blue car was already stationary and would not have hit the man if not for the red car.
1,1,1,1,0,0,1,0,9,20,"The red car hit the blue car and caused it to move into the man. There is no indication of there being anyone in control of the cars so the assumption is that they were autonomous in their movement, in other words, the cars moved themselves somehow (gravity, momentum, etc.)"
1,1,1,1,1,1,1,1,6,21,"A reaction from the back-end hit, caused the blue car to hit the man. It was certainly involuntary."
1,1,1,1,1,1,1,1,6,22,"I'm assuming the blue car lost control when the red car hit him and the blue car did not intentionally target the standing man. The red car is ultimately responsible for what happened, but I'm not sure his intent was to hit the blue car, and certainly not to hit the man."
1,1,1,1,1,1,1,1,9,23,"The red car hit the blue car, and the blue care ricocheted and hit the person as a result."
1,1,1,1,1,1,1,1,8,24,The red car pushed the blue car into the man.
0,0,1,0,1,1,1,1,9,25,The blue car kept going and didn't stop.
1,1,1,1,1,1,1,1,7,26,"In my personal experience, the person who rearends another car is almost always at fault."
1,1,1,1,1,1,1,1,9,27,The red car hit the blue car into the man.
0,0,1,0,1,1,1,1,1,28,The blue car was to blame because every driver should yield to pedestrians 
0,0,1,0,1,1,1,1,7,29,"both the cars were stationary to start with, so i am not even sure if there is someone in the blue car"
1,1,1,1,1,1,1,1,5,30,"The red car hit the blue car, then cause the blue move to hit the man."
1,1,1,1,1,1,1,1,7,31,The man would not have been hit by the blue car if the red car had not pushed it into him. I feel it is the red car who is at fault for the blue cars accident.
1,1,1,1,1,1,1,1,8,32,If the red car hadn't hit the blue car and pushed it into the man the blue car wouldn't have hit him. 
1,1,1,1,1,1,1,1,8,33,"The blue car would not have hit
the man if the fed car had not hit
the blue car."
1,1,1,1,1,1,1,1,8,34,The blue car wouldn't have hit anyone if the red car didn't hit the blue car.
1,1,1,1,1,1,1,1,9,35,The red car caused the blue car to hit the man.
0,0,1,0,1,1,1,1,8,36,The blue car could have swerved to avoid hitting the man. That car is to blame for hitting the pedestrian.
1,1,1,1,1,1,1,1,9,37,The blue car would not have hit the man unless the red car specifically hit the blue car first.
1,1,1,1,1,1,1,1,7,38,The red car crashed in to the back of the blue car.
0,0,1,0,1,1,1,1,1,39,"both cars were driving at adequate speed, yet the blue one still ended up hitting the man."
1,1,1,1,1,1,1,1,8,40,"the red car hit the blue car which in turn hit the man, but it wasn't the blue car's fault as if the red car didn't hit the blue car the blue car never would have hit the man."
