count,julian_manUncertainty_codes,julian_carHitMan_codes,workerID,sentences
1,0,0,1,well the blue car was ahead of the red car when the person fell.
2,0,1,2,Because the blue car hit the man. 
3,0,1,4,the red car hit the blue car and then the blue car hit the man
4,0,1,5,"it looks like the blue car went around the red car and, as a result, hit the man. "
5,0,1,6,The blue car hit the man; although the video wasn't super clear about the chain of events so I wasn't able to see how the red car played into it. 
6,0,0,7,The car went threw the blue car not making contact that would propell the car. the blue car moved on it's own.
7,0,1,8,The red car seemed to be to the side of the blue car. The blue car hit the man.
8,0,1,9,The red car hit the blue car which forced it into the man.
9,0,0,10,The blue car is carrying a dangerous amount of materials on top of it and it caused it to not slow down fast enough.
10,0,0,11,My observation.
11,0,1,12,"The blue car was ahead of the red one, and the blue car hit the man."
12,0,1,13,The blue car past the red and hit the man.
13,0,1,14,the blue car is the one that hit the man so it or it's driver is at fault
14,0,1,15,"Red car hit the blue car, but blue car hit the man. Blue car could've moved out of the way from the man."
15,0,1,16,"While the blue car hit the man, the red car hit the blue car and caused it to hit the man."
16,0,0,18,"It's hard to be certain due to a 2d video, but it appeared the red car was simply passing on the side. What the red car did should have no baring on what the blue car did. It was entirely the blue car's fault."
17,0,1,19,I don't know if the red car had anything to do with the blue car hitting the man so I have to assume that the red car is unrelated to the accident.
18,0,1,20,Because the red car but the blue car pushing it forward into the man.
19,0,1,21,The blue car was in front of the red car and then struck the man.
20,0,0,22,because the man was clearly in the street
21,0,1,23,"The blue car hit the man, maybe due to the red car hitting him, but he could have tried to avoid the man anyway."
22,0,1,24,The blue car passed the red car and hit the man.
23,0,0,25,"The action video was very poor, but it seemed that the rear car hit the front car, causing the accident, by the rear car's action."
24,0,1,26,It looks like the red car was trying to pass the blue car but ended up hitting him so the blue car accidentally hits the man.
25,0,1,27,"Because the blue car was ahead, and ended u hitting the man. The red car was not near the man when he got hit so it could not have been responsible for the accident."
26,0,1,28,I think the entire fault lies with the blue car. It was the one which hit the man. The red car had really nothing to do with it.
27,0,1,29,The red car tried to overtake the blue car. The blue car decided to speed up and in the process hit the person
28,0,1,30,Red car hit blue car causing it to hit man.
29,0,1,31,"they kept switching places.  I was a little confused at first but I am pretty sure that after the red car was about to pass the blue, the blue one pulled ahead and hit the guy"
30,0,1,32,"Because the red car hit the blue car, causing him to hit the man.  If the red car did not hit the blue then the man would not have been hit."
31,0,1,33,"The blue car hit the man, even though the red car was close"
32,0,0,34,the blue car was not paying attention
33,0,0,35,I seem to recall the blue car being at fault because of the load they were carrying.
34,0,0,36,Blue car is stacked up with things that blocks the view of other cars and it is of high risk and hence it is the blue car that is always to be blamed
35,0,0,37,The red car cannot see due to the load on top of the blue car.
36,0,0,38,The blue car is the one with a huge load on top of their car and hit the man.
37,0,0,39,because the blue car was right next to the man on the ground so I figured he hit him and the red car was not near the blue car
38,0,1,40,It was straightforward. The blue car hit the man and there's not much more to say. They deserve all the blame.
39,0,0,41,The car was closest to the man when he was pictured fallen over
40,0,1,42,The blue car was the one that moved forward and caused the man to fall.
